IID,T1,T2,AGE,SEX,PC1,PC2,PC3,PC4,PC5,pop,super_pop
HG03382,1,1,34,1,0.0350091,-0.00415159,-0.00121373,-0.000280621,-0.0330754,MSL,AFR
HG03385,2,2,66,1,0.0353043,-0.00427345,-0.000717263,-0.00161964,-0.0296553,MSL,AFR
HG03388,2,1,48,1,0.0355525,-0.00409866,-0.00170644,-0.000756232,-0.0364146,MSL,AFR
HG03391,1,1,44,1,0.0356903,-0.00400224,-0.0019903,-0.000695645,-0.0348994,MSL,AFR
HG03394,2,1,43,1,0.0355154,-0.00394211,-0.000785644,-0.00104747,-0.0275899,MSL,AFR
HG03397,1,1,53,1,0.0354225,-0.00402069,-0.000714854,-0.00122917,-0.0324328,MSL,AFR
HG03401,2,1,51,2,0.0355855,-0.00378457,-0.00166524,-0.00120115,-0.0329664,MSL,AFR
HG03410,2,2,66,2,0.035396,-0.00391682,-0.00152517,-0.001675,-0.0319426,MSL,AFR
HG03419,2,2,43,2,0.0352685,-0.00409758,-0.002028,-0.000251655,-0.0333037,MSL,AFR
HG03428,2,2,62,2,0.0353873,-0.00437205,-0.00121475,-0.00163873,-0.0369702,MSL,AFR
HG03432,1,1,65,1,0.0351328,-0.00402871,-0.00174093,-0.00167012,-0.0257161,MSL,AFR
HG03433,1,1,38,1,0.0356488,-0.00411213,-0.00183133,-0.00184875,-0.0351397,MSL,AFR
HG03436,1,2,48,1,0.035372,-0.00415237,-0.000846289,-0.000937578,-0.0301052,MSL,AFR
HG03437,2,1,56,2,0.0350369,-0.00420247,-0.00188602,-0.00128602,-0.037287,MSL,AFR
HG03439,2,2,62,1,0.035586,-0.0044515,-0.00152543,-0.00177012,-0.0366768,MSL,AFR
HG03442,2,2,43,1,0.0353645,-0.00402641,-0.00109717,-0.00129481,-0.0320983,MSL,AFR
HG03445,2,2,42,1,0.0354534,-0.00400391,-0.00189893,-0.00133615,-0.03535,MSL,AFR
HG03446,2,2,51,2,0.0355149,-0.00406788,-0.00168134,-0.00135401,-0.0377125,MSL,AFR
HG03449,2,1,47,2,0.035343,-0.00401484,-0.00112572,-0.000386186,-0.032982,MSL,AFR
HG03451,1,1,43,1,0.0356877,-0.00393338,-0.000648824,-0.000819105,-0.0340333,MSL,AFR
HG03452,1,1,30,2,0.0355049,-0.00424793,-0.000792736,-6.97939e-05,-0.0316376,MSL,AFR
HG03455,1,2,54,2,0.0356961,-0.00399722,-0.00057266,-0.00112311,-0.0312283,MSL,AFR
HG03457,1,1,40,1,0.0352572,-0.00397629,-0.000434067,-0.0012789,-0.0302278,MSL,AFR
HG03458,2,2,54,2,0.0354418,-0.00425453,-0.00177194,-0.00139803,-0.0343422,MSL,AFR
HG03460,1,1,37,1,0.0354919,-0.00479467,-0.00128666,-0.000618409,-0.0358249,MSL,AFR
HG03461,2,2,60,2,0.0355177,-0.00421237,-0.00119059,-0.00115043,-0.0338759,MSL,AFR
HG03464,1,1,52,2,0.035822,-0.00441071,-0.0010717,-0.000313283,-0.0341214,MSL,AFR
HG03469,2,2,40,1,0.0356044,-0.00390101,-0.00141046,-0.00149024,-0.0343111,MSL,AFR
HG03470,2,2,43,2,0.0357041,-0.00415441,-0.00135223,-0.00148218,-0.0353326,MSL,AFR
HG03472,2,2,69,1,0.0354073,-0.00376669,-0.000415233,-0.000509071,-0.0352951,MSL,AFR
HG03473,2,2,70,2,0.0356344,-0.00408007,-0.0016401,-0.00122024,-0.0339044,MSL,AFR
HG03476,1,1,35,2,0.0351444,-0.00389163,-0.00131205,-0.000692803,-0.0291379,MSL,AFR
HG03478,2,2,38,1,0.0355784,-0.00434605,-0.00187646,-0.000913377,-0.0376329,MSL,AFR
HG03479,2,2,31,2,0.0354455,-0.00418113,-0.00114303,-0.00153789,-0.0326889,MSL,AFR
HG03484,2,1,46,1,0.0356461,-0.00445104,-0.00132388,-0.000878136,-0.0347353,MSL,AFR
HG03485,2,2,64,2,0.0352574,-0.00421465,-0.00101747,-0.000564063,-0.030697,MSL,AFR
HG03488,1,1,54,2,-0.0106186,0.0107478,-0.0290184,-0.00993857,-0.00199762,PJL,SAS
HG03490,1,1,46,1,-0.0106618,0.0119864,-0.0266805,-0.00930587,-0.00216179,PJL,SAS
HG03491,1,1,52,2,-0.0106527,0.00722874,-0.0351154,-0.013038,-0.00172391,PJL,SAS
HG03499,1,1,53,2,0.0355938,-0.00379616,-0.000520895,-0.00130936,0.00642662,ESN,AFR
HG03511,2,2,48,2,0.0355256,-0.00406709,-0.00160173,-0.00151827,0.0100045,ESN,AFR
HG03514,2,2,47,2,0.0355489,-0.00403653,-0.00118778,-0.000890225,0.00452712,ESN,AFR
HG03515,2,2,42,1,0.0355938,-0.00351044,-0.00171088,-0.00145547,0.00404681,ESN,AFR
HG03517,2,1,41,2,0.0358578,-0.0040518,-0.0014182,-0.00134816,0.00709852,ESN,AFR
HG03518,2,2,38,1,0.0353065,-0.00458832,-0.00100328,-0.00106423,0.00921461,ESN,AFR
HG03520,1,1,46,2,0.0358437,-0.00453074,-0.000987808,-0.000538301,0.0030253,ESN,AFR
HG03521,2,2,64,1,0.0356058,-0.00420403,-0.00131155,-0.0012122,0.00499151,ESN,AFR
HG03538,2,2,64,1,0.0341874,-0.00370473,-0.00136922,-0.00129302,-0.0507946,GWD,AFR
HG03539,2,2,57,2,0.0326122,-0.00237128,-0.000193603,-0.000168033,-0.0478953,GWD,AFR
HG03547,2,2,40,1,0.0355715,-0.00410541,-0.00129923,-0.0012504,-0.0339483,MSL,AFR
HG03548,1,1,41,2,0.0354287,-0.00396458,-0.000980055,-0.00126176,-0.0310434,MSL,AFR
HG03556,2,1,51,1,0.0352246,-0.00430942,-0.00132274,-0.00133623,-0.0301379,MSL,AFR
HG03557,1,2,47,2,0.0353951,-0.00426029,-0.00101126,-0.000510906,-0.0311997,MSL,AFR
HG03558,2,2,57,2,0.0355924,-0.00431576,-0.00143447,-0.00146096,-0.0269506,MSL,AFR
HG03559,1,2,60,1,0.035467,-0.00403504,-0.00139611,-0.000520203,-0.0319326,MSL,AFR
HG03563,1,2,68,2,0.0353537,-0.00421051,-0.00154583,-0.00100849,-0.0297392,MSL,AFR
HG03565,1,1,49,1,0.0347864,-0.00426252,-0.00179383,-0.00146544,-0.0338597,MSL,AFR
HG03567,1,2,69,2,0.0356374,-0.00416441,-0.00143618,-0.00235305,-0.0317379,MSL,AFR
HG03571,2,1,61,1,0.0351498,-0.00416259,-0.00192705,-0.00102751,-0.0319258,MSL,AFR
HG03572,2,1,46,2,0.035332,-0.00405001,-0.000995873,-0.00098505,-0.0317957,MSL,AFR
HG03575,1,1,51,2,0.035256,-0.0039799,-0.000935629,-0.000890556,-0.0258121,MSL,AFR
HG03577,1,2,63,1,0.0353663,-0.00381321,-0.00178641,-0.000433074,-0.0321786,MSL,AFR
HG03578,2,2,38,2,0.0350178,-0.00368373,-0.00136854,-0.000417055,-0.0315915,MSL,AFR
HG03583,2,2,56,2,0.0353955,-0.0040814,-0.000738148,-0.00107003,-0.0325071,MSL,AFR
HG03585,1,1,46,1,-0.0111656,0.00203401,-0.0334156,-0.0118965,-0.0034619,BEB,SAS
HG03589,2,2,57,2,-0.0111527,0.00235148,-0.0355175,-0.0125413,-0.00539433,BEB,SAS
HG03593,1,1,36,1,-0.0112328,0.00188178,-0.0336323,-0.0122686,-0.00384441,BEB,SAS
HG03594,2,2,29,1,-0.011153,0.00163504,-0.0335958,-0.0125691,-0.00334887,BEB,SAS
HG03595,1,1,55,2,-0.0112394,0.00198336,-0.0325614,-0.0116029,-0.00561874,BEB,SAS
HG03598,1,1,26,2,-0.0113598,0.00204799,-0.0329486,-0.0116986,-0.00165046,BEB,SAS
HG03600,1,1,54,1,-0.0108508,0.00291143,-0.0404754,-0.0171724,-0.000349902,BEB,SAS
HG03603,2,1,46,1,-0.0114322,0.000776193,-0.0342424,-0.0118273,-0.0039868,BEB,SAS
HG03604,1,2,57,2,-0.0112826,0.00164115,-0.0341398,-0.0124182,-0.00302862,BEB,SAS
HG03607,1,1,46,2,-0.0112791,0.00154896,-0.0333907,-0.0120266,-0.00419538,BEB,SAS
HG03611,2,1,46,2,-0.0114037,0.00134048,-0.0325706,-0.0107688,-0.00557367,BEB,SAS
HG03615,1,1,47,1,-0.0110525,0.00219037,-0.0332009,-0.0111183,-0.001758,BEB,SAS
HG03616,1,1,57,2,-0.0109555,0.00208196,-0.033354,-0.0121064,-0.00237986,BEB,SAS
HG03619,1,1,55,2,-0.0107634,0.0139298,-0.0222523,-0.00695047,-0.00422211,PJL,SAS
HG03624,2,2,52,1,-0.010561,0.0137619,-0.0259017,-0.00842201,-0.00145111,PJL,SAS
HG03625,2,2,34,2,-0.010675,0.0143185,-0.024659,-0.00766919,-0.00235429,PJL,SAS
HG03629,2,2,47,1,-0.0103747,0.0116322,-0.0272359,-0.00922758,-0.00316881,PJL,SAS
HG03631,1,1,52,2,-0.0107497,0.0107765,-0.0294487,-0.00966963,-0.00426892,PJL,SAS
HG03634,2,1,44,2,-0.0107837,0.0123672,-0.025084,-0.00627777,-0.00399887,PJL,SAS
HG03636,1,1,49,1,-0.0109723,0.00988779,-0.0282982,-0.0101243,0.00237481,PJL,SAS
HG03640,2,2,48,2,-0.0106663,0.00556721,-0.037203,-0.0148737,0.0016106,PJL,SAS
HG03642,1,2,47,2,-0.0105515,0.0038751,-0.0413903,-0.0159295,0.000418768,STU,SAS
HG03643,1,2,51,2,-0.0104646,0.00501678,-0.039418,-0.0147694,-0.00154817,STU,SAS
HG03644,1,1,71,1,-0.0104757,0.00522713,-0.0395729,-0.0151689,-0.00179174,STU,SAS
HG03645,2,2,60,2,-0.0106113,0.00449978,-0.0410704,-0.0147229,-0.00118301,STU,SAS
HG03646,2,1,48,1,-0.010549,0.00479153,-0.039967,-0.0149342,-0.00259833,STU,SAS
HG03649,2,1,59,1,-0.0105437,0.00911339,-0.0302068,-0.0120103,0.00112935,PJL,SAS
HG03652,1,1,33,1,-0.0107238,0.00800823,-0.0339318,-0.013488,0.00193175,PJL,SAS
HG03653,1,2,49,2,-0.0107043,0.00832937,-0.0327151,-0.013235,0.00110284,PJL,SAS
HG03660,1,1,44,1,-0.0110612,0.00602748,-0.0367965,-0.0139952,-0.00325299,PJL,SAS
HG03663,2,2,48,1,-0.0109579,0.00535938,-0.0387199,-0.0149924,-0.00333902,PJL,SAS
HG03667,1,1,48,1,-0.0109588,0.00394022,-0.037962,-0.013704,-0.00214816,PJL,SAS
HG03668,2,1,34,2,-0.0107498,0.00795003,-0.031336,-0.0113129,-0.00385048,PJL,SAS
HG03672,2,2,52,1,-0.0106297,0.00653056,-0.0403665,-0.0154709,-0.00439927,STU,SAS
HG03673,1,1,38,2,-0.0103722,0.00534377,-0.0389867,-0.0155387,-0.00306347,STU,SAS
HG03679,2,1,57,1,-0.010402,0.00572845,-0.0399162,-0.0144838,-0.00170452,STU,SAS
HG03680,1,1,45,1,-0.0106067,0.00534716,-0.0402233,-0.0153969,-0.00443659,STU,SAS
HG03681,1,1,37,1,-0.0105828,0.00535437,-0.0396299,-0.01535,-0.00105979,STU,SAS
HG03684,1,1,63,2,-0.0106106,0.00210539,-0.0438716,-0.0189625,-0.000552577,STU,SAS
HG03685,2,2,62,1,-0.0104539,0.00489683,-0.040147,-0.0157527,-0.00225396,STU,SAS
HG03686,1,1,64,1,-0.0105614,0.0035999,-0.0423957,-0.0180079,0.000326837,STU,SAS
HG03687,2,2,44,1,-0.0103872,0.00526335,-0.0397712,-0.0161878,-0.00343379,STU,SAS
HG03689,2,2,39,2,-0.0107574,0.00517988,-0.0410719,-0.0159498,-0.00145812,STU,SAS
HG03690,2,2,74,2,-0.0106511,0.00536479,-0.0403134,-0.0165543,0.000448807,STU,SAS
HG03691,1,1,62,1,-0.0106318,0.00427143,-0.0401501,-0.0148901,-0.00121387,STU,SAS
HG03692,1,1,38,2,-0.0104596,0.00413976,-0.0409909,-0.0157351,-0.0018272,STU,SAS
HG03693,1,1,48,1,-0.0107137,0.00417916,-0.0402685,-0.0156696,-0.0010523,STU,SAS
HG03694,1,1,44,1,-0.0107877,0.00564764,-0.0298739,-0.00872343,-0.00650798,STU,SAS
HG03695,1,2,42,1,-0.0105529,0.00478841,-0.0407402,-0.0160036,-0.00210114,STU,SAS
HG03696,2,1,26,1,-0.0107718,0.0051945,-0.0401277,-0.0161323,-0.00414431,STU,SAS
HG03697,1,1,64,1,-0.0104799,0.00519549,-0.0398786,-0.0149744,-0.00167598,STU,SAS
HG03698,1,1,52,2,-0.0105646,0.0055483,-0.0381246,-0.0157246,-0.00265439,STU,SAS
HG03702,2,2,65,1,-0.0108182,0.00680376,-0.0352011,-0.0134474,-0.00214022,PJL,SAS
HG03703,2,1,48,2,-0.011008,0.00711052,-0.0341579,-0.0124904,-0.00301608,PJL,SAS
HG03705,1,1,45,1,-0.0107283,0.00597686,-0.0374059,-0.0146549,0.0007756,PJL,SAS
HG03706,2,2,41,2,-0.0107154,0.00689538,-0.036333,-0.0148602,0.00049205,PJL,SAS
HG03708,2,1,39,1,-0.0111146,0.00867431,-0.0307262,-0.00999695,-0.00361634,PJL,SAS
HG03709,1,1,42,2,-0.0110073,0.00609226,-0.0338148,-0.0119777,-0.00386297,PJL,SAS
HG03711,1,1,43,1,-0.0105047,0.00603855,-0.0399025,-0.0159262,-0.00143545,STU,SAS
HG03713,1,2,61,1,-0.0104212,0.00854295,-0.0324517,-0.0115842,-0.00371138,ITU,SAS
HG03714,1,2,51,2,-0.0105633,0.00902398,-0.0327166,-0.0119725,-0.00449743,ITU,SAS
HG03716,1,1,38,1,-0.010707,0.00921124,-0.0327089,-0.012647,-0.000801024,ITU,SAS
HG03717,1,2,58,2,-0.0107001,0.00476038,-0.0435387,-0.017219,0.0016468,ITU,SAS
HG03718,2,1,36,1,-0.0106599,0.00460937,-0.0430521,-0.01886,0.00186724,ITU,SAS
HG03720,2,1,58,1,-0.0107346,0.00429726,-0.0397417,-0.0162007,-0.00159427,ITU,SAS
HG03722,1,1,51,2,-0.0104732,0.0043949,-0.0421798,-0.0173576,-0.00179818,ITU,SAS
HG03727,1,1,58,1,-0.0103147,0.00690028,-0.0383697,-0.0154313,-0.00425931,ITU,SAS
HG03729,1,2,53,1,-0.01065,0.00654659,-0.0398238,-0.0159522,-0.00223276,ITU,SAS
HG03730,2,2,70,2,-0.0105266,0.00198194,-0.0434976,-0.0183225,-0.000761961,ITU,SAS
HG03731,2,2,53,2,-0.0104559,0.00686292,-0.0392753,-0.0147845,-0.00283173,ITU,SAS
HG03733,1,1,49,2,-0.0105102,0.00512613,-0.0416285,-0.016668,-0.00227015,STU,SAS
HG03736,1,1,33,2,-0.0106783,0.00487055,-0.0394077,-0.0152509,0.000188585,STU,SAS
HG03738,1,1,72,1,-0.0104501,0.00599513,-0.0396921,-0.0146433,-0.00273456,STU,SAS
HG03740,1,1,48,1,-0.0105361,0.00422561,-0.0420722,-0.0166368,-0.000216037,STU,SAS
HG03741,1,2,57,2,-0.0106691,0.00415313,-0.0402422,-0.0146758,-0.00112867,STU,SAS
HG03742,1,1,56,1,-0.0107264,0.00460152,-0.0397468,-0.0151934,-0.00220389,ITU,SAS
HG03743,1,1,46,1,-0.0107618,0.00108589,-0.0439006,-0.0178378,-0.000719275,STU,SAS
HG03744,1,1,71,1,-0.0106189,0.00427353,-0.0393592,-0.0157881,-0.00216243,STU,SAS
HG03745,1,1,55,1,-0.0105942,0.00549569,-0.0398146,-0.016341,-0.00090574,STU,SAS
HG03746,2,1,62,1,-0.0106507,0.00918042,-0.0320691,-0.0120448,-0.000550969,STU,SAS
HG03750,1,1,65,1,-0.0104136,0.00524938,-0.0395544,-0.0149788,-0.00228395,STU,SAS
HG03752,2,1,39,2,-0.0104824,0.00569819,-0.0390527,-0.0150774,-0.000488861,STU,SAS
HG03753,2,2,53,1,-0.0103168,0.00471562,-0.0395558,-0.0154856,-0.00383518,STU,SAS
HG03754,1,2,43,2,-0.0103473,0.00562976,-0.0402427,-0.0159563,-0.00377274,STU,SAS
HG03755,1,2,47,1,-0.0105475,0.00497268,-0.0397574,-0.0155895,-0.00359533,STU,SAS
HG03756,1,1,64,2,-0.0103563,0.00555946,-0.0389476,-0.0155009,-0.00339001,STU,SAS
HG03757,2,2,49,2,-0.0104776,0.00234949,-0.0439754,-0.0179378,0.000713188,STU,SAS
HG03760,1,1,46,2,-0.0105583,0.00526881,-0.0401158,-0.0150206,-0.00323751,STU,SAS
HG03762,1,2,46,2,-0.0104602,0.00564449,-0.0364879,-0.0138029,0.00255379,PJL,SAS
HG03765,2,1,55,2,-0.0107879,0.0106938,-0.02825,-0.00873047,-0.00263337,PJL,SAS
HG03767,2,2,35,1,-0.0107407,0.0145805,-0.022492,-0.00575502,-0.000905362,PJL,SAS
HG03770,2,1,57,2,-0.010453,0.00238598,-0.0397484,-0.014965,-0.00124478,ITU,SAS
HG03771,1,1,50,1,-0.0107005,0.0033402,-0.039665,-0.0150114,-0.00264565,ITU,SAS
HG03772,1,2,49,2,-0.0108288,0.00471848,-0.0455375,-0.0188941,-0.000782701,ITU,SAS
HG03773,2,2,42,1,-0.0107966,0.00480865,-0.0455181,-0.0183965,-0.000340317,ITU,SAS
HG03774,1,2,57,2,-0.0105882,0.00653323,-0.0393624,-0.0152875,0.00207436,ITU,SAS
HG03775,2,2,55,1,-0.0102394,0.00630055,-0.0395535,-0.0145619,-0.00225884,ITU,SAS
HG03777,2,1,61,1,-0.0104997,0.00701285,-0.0384455,-0.015107,-0.00191319,ITU,SAS
HG03778,2,1,62,1,-0.010762,0.00444649,-0.0388449,-0.0156509,-0.00153107,ITU,SAS
HG03779,2,1,41,1,-0.0103689,0.00542543,-0.0396282,-0.0153987,-0.00194118,ITU,SAS
HG03780,1,1,44,2,-0.0106409,0.0068355,-0.0392623,-0.0144659,-0.00358375,ITU,SAS
HG03781,2,2,46,2,-0.0107723,0.00538629,-0.0382847,-0.0146645,-0.000248775,ITU,SAS
HG03782,2,1,54,2,-0.0103621,0.00693886,-0.0392632,-0.0149842,-0.0038905,ITU,SAS
HG03784,1,1,45,2,-0.0109593,0.00473311,-0.0435524,-0.0178983,-0.00125335,ITU,SAS
HG03785,1,2,51,1,-0.0107139,0.00423543,-0.045858,-0.0188904,-0.00199117,ITU,SAS
HG03786,2,2,61,1,-0.0107141,0.00489237,-0.0449213,-0.0185166,-0.000823032,ITU,SAS
HG03787,2,2,53,2,-0.0105144,0.00399453,-0.0413268,-0.0166765,-0.000477709,ITU,SAS
HG03788,2,2,55,1,-0.0104369,0.00682017,-0.0370968,-0.0149731,-0.00203846,ITU,SAS
HG03789,2,2,53,2,-0.0108131,0.00830641,-0.0341752,-0.0135051,-0.00203563,ITU,SAS
HG03790,2,2,48,1,-0.0104622,0.00719485,-0.0393457,-0.0157092,-0.00134252,ITU,SAS
HG03792,2,2,60,1,-0.010459,0.00653799,-0.0383198,-0.0146903,-0.00311292,ITU,SAS
HG03793,1,1,27,2,-0.0111041,0.00261867,-0.0357542,-0.0144942,-0.00133244,BEB,SAS
HG03796,1,2,42,2,-0.0112002,-0.00118526,-0.031658,-0.0112791,-0.00338025,BEB,SAS
HG03800,1,1,52,1,-0.0112903,-0.0014459,-0.0350581,-0.0128079,-0.00251885,BEB,SAS
HG03802,1,2,40,2,-0.01102,0.00231923,-0.0348632,-0.0125067,-0.00171195,BEB,SAS
HG03803,1,1,57,1,-0.0111901,0.00223853,-0.0335765,-0.0120384,-0.000816438,BEB,SAS
HG03805,2,1,36,2,-0.0113069,0.00193385,-0.0331814,-0.0123832,-0.00342325,BEB,SAS
HG03808,1,1,38,2,-0.0114941,0.00107824,-0.0319663,-0.0110382,-0.00485758,BEB,SAS
HG03809,1,2,53,1,-0.0113726,0.00200368,-0.0334647,-0.0131759,-0.00558024,BEB,SAS
HG03812,1,2,56,1,-0.0113526,0.00153535,-0.0327145,-0.0114002,-0.00426672,BEB,SAS
HG03814,2,1,48,2,-0.0111793,0.000425168,-0.0328123,-0.0117332,-0.00572117,BEB,SAS
HG03815,2,2,40,1,-0.0113135,0.00112424,-0.0318485,-0.0123764,-0.00489694,BEB,SAS
HG03817,2,2,63,2,-0.0113532,0.00208662,-0.033856,-0.0122548,-0.00292604,BEB,SAS
HG03821,1,1,22,1,-0.0110434,0.00252437,-0.0337916,-0.0129786,0.000232958,BEB,SAS
HG03823,2,1,50,2,-0.0113909,0.00218424,-0.0344415,-0.013235,-0.0033444,BEB,SAS
HG03824,2,1,42,1,-0.0111861,0.000495194,-0.0318624,-0.0123354,-0.00552954,BEB,SAS
HG03826,1,1,55,2,-0.0111017,0.00208966,-0.0332503,-0.0113645,-0.00417396,BEB,SAS
HG03829,2,1,43,2,-0.0115066,0.000904962,-0.0339837,-0.012028,-0.0041392,BEB,SAS
HG03830,2,1,66,1,-0.0113123,0.000793553,-0.0330647,-0.0114979,-0.0022281,BEB,SAS
HG03832,1,2,59,2,-0.011124,0.00174648,-0.0344083,-0.0127746,-0.00121224,BEB,SAS
HG03833,2,2,55,1,-0.0113848,0.00174045,-0.0326807,-0.0127298,-0.00325718,BEB,SAS
HG03836,1,1,46,2,-0.0104855,0.00579987,-0.0391978,-0.014997,-0.00380182,STU,SAS
HG03837,1,2,50,1,-0.0105426,0.00570432,-0.0409736,-0.0158588,-0.00158224,STU,SAS
HG03838,1,1,66,2,-0.0104753,0.00425608,-0.0399586,-0.0146081,-0.00159954,STU,SAS
HG03844,2,1,63,1,-0.0104294,0.00469679,-0.0395448,-0.0148567,-0.00162184,STU,SAS
HG03846,1,1,47,1,-0.0106168,0.00434603,-0.0413156,-0.0153445,-0.00129158,STU,SAS
HG03848,1,1,50,1,-0.0104974,0.00512022,-0.039997,-0.016079,-0.00168064,STU,SAS
HG03849,2,1,37,2,-0.0105896,0.00471835,-0.0408524,-0.0164603,-0.00215178,STU,SAS
HG03850,1,1,47,1,-0.0107365,0.00531377,-0.039408,-0.0147288,-0.00193991,STU,SAS
HG03851,1,1,61,1,-0.0104766,0.00559255,-0.039597,-0.0152802,-0.00183662,STU,SAS
HG03854,1,2,38,1,-0.0107782,0.0053161,-0.0381539,-0.0143283,-0.00286241,STU,SAS
HG03856,2,2,48,1,-0.0109643,0.00074833,-0.0446655,-0.0187911,-0.000535916,STU,SAS
HG03857,1,2,40,2,-0.0109133,0.00439507,-0.0392974,-0.013922,-0.00388563,STU,SAS
HG03858,2,2,46,2,-0.0104195,0.00341737,-0.0400439,-0.0155393,-0.00350927,STU,SAS
HG03861,1,2,47,2,-0.0106215,0.00515568,-0.0443958,-0.0202814,-0.00128432,ITU,SAS
HG03862,1,1,39,2,-0.0104421,0.00688342,-0.0384697,-0.0160978,-0.000343487,ITU,SAS
HG03863,1,1,32,2,-0.0104481,0.00620386,-0.0391275,-0.0142467,-0.00350247,ITU,SAS
HG03864,1,1,40,1,-0.0105148,0.00662824,-0.0396226,-0.0152863,0.000230506,ITU,SAS
HG03866,2,2,43,1,-0.010552,0.00570271,-0.0397845,-0.0158528,0.00192373,ITU,SAS
HG03867,1,1,67,1,-0.0106031,0.00236673,-0.0412567,-0.0171868,-0.00315502,ITU,SAS
HG03868,1,1,63,2,-0.0107019,0.00699839,-0.0384984,-0.0137238,-0.00459165,ITU,SAS
HG03869,1,2,58,1,-0.0103784,0.0062956,-0.0388186,-0.0151157,-0.00223835,ITU,SAS
HG03870,1,1,47,1,-0.0104719,0.00654132,-0.0394579,-0.0168292,-0.00212239,ITU,SAS
HG03871,1,1,43,1,-0.0105344,0.00694835,-0.0398412,-0.0149495,-0.00108713,ITU,SAS
HG03872,2,2,54,1,-0.0105378,0.00653767,-0.0390303,-0.0158442,-0.00180263,ITU,SAS
HG03873,1,1,51,2,-0.0106755,0.00532107,-0.0415469,-0.0168027,-0.00201264,ITU,SAS
HG03874,1,1,40,2,-0.0105687,0.00533113,-0.037502,-0.0136788,-0.00241852,ITU,SAS
HG03875,1,2,46,1,-0.0107688,0.00889576,-0.0322862,-0.0104906,-0.003956,ITU,SAS
HG03882,2,1,52,2,-0.0104537,0.00689711,-0.0389037,-0.0151983,-0.00205056,ITU,SAS
HG03884,1,1,31,2,-0.0104682,0.00560568,-0.040548,-0.0148114,-0.00121481,STU,SAS
HG03885,1,2,32,1,-0.0105271,0.00529891,-0.038827,-0.0159627,-0.00131039,STU,SAS
HG03886,1,1,53,2,-0.0104778,0.00576399,-0.0405433,-0.0153786,0.00275063,STU,SAS
HG03887,1,2,56,1,-0.0106241,0.0050803,-0.0405743,-0.0163644,-0.00173214,STU,SAS
HG03888,1,1,40,2,-0.0106841,0.00899403,-0.03295,-0.012276,-0.00195825,STU,SAS
HG03890,1,1,50,1,-0.0103329,0.00487195,-0.040325,-0.0152355,-0.00118391,STU,SAS
HG03894,1,1,34,2,-0.0102819,0.00486276,-0.0405667,-0.0166758,-5.48645e-05,STU,SAS
HG03895,1,2,38,2,-0.0104065,0.00553548,-0.0387141,-0.0158713,-0.000973419,STU,SAS
HG03896,2,1,51,1,-0.0105705,0.00443082,-0.0418423,-0.0166115,-0.00100119,STU,SAS
HG03897,2,2,36,2,-0.0106364,0.00615296,-0.0389464,-0.0153827,-0.00319042,STU,SAS
HG03898,1,2,54,2,-0.0103,0.00539067,-0.0402741,-0.0163767,-0.00107737,STU,SAS
HG03899,1,1,56,1,-0.0107632,0.00497056,-0.0404454,-0.0153256,-0.00390574,STU,SAS
HG03900,2,1,57,1,-0.0105198,0.00568975,-0.0389748,-0.0146758,-0.000362454,STU,SAS
HG03902,1,1,39,1,-0.0111277,0.00285044,-0.0328986,-0.01326,-0.00510042,BEB,SAS
HG03905,2,2,50,1,-0.0115003,0.00159486,-0.0332858,-0.0129421,-0.003326,BEB,SAS
HG03907,2,2,48,2,-0.0110013,0.00157347,-0.0349201,-0.0131197,-0.00476895,BEB,SAS
HG03908,1,1,68,1,-0.0109595,0.00270781,-0.0349989,-0.0137982,-0.00360156,BEB,SAS
HG03910,1,1,44,2,-0.0114583,0.00142366,-0.0326118,-0.0118573,-0.00436643,BEB,SAS
HG03911,1,2,63,1,-0.0110735,0.00302605,-0.0339703,-0.0130676,-0.00342985,BEB,SAS
HG03913,2,2,53,2,-0.011467,0.0020637,-0.0338908,-0.0125854,-0.00455871,BEB,SAS
HG03914,1,1,58,1,-0.0113473,0.00163391,-0.0336564,-0.0128546,-0.00441512,BEB,SAS
HG03916,1,2,41,2,-0.0114893,0.00117882,-0.0337112,-0.0123024,-0.00127654,BEB,SAS
HG03917,2,1,46,1,-0.0113618,0.000951066,-0.0329746,-0.0105857,-0.00507542,BEB,SAS
HG03919,1,1,40,2,-0.0106575,0.00626944,-0.0344426,-0.0130859,-0.00165645,BEB,SAS
HG03920,1,2,43,1,-0.0113555,0.00202588,-0.0349897,-0.0122305,-0.00475883,BEB,SAS
HG03922,1,1,42,2,-0.0114246,0.00120637,-0.032971,-0.0118514,-0.00465149,BEB,SAS
HG03925,1,1,71,2,-0.0113052,0.00153376,-0.0333398,-0.0120617,-0.00160915,BEB,SAS
HG03926,1,2,44,1,-0.011336,0.000653153,-0.0314785,-0.0107848,-0.00407414,BEB,SAS
HG03928,2,1,57,2,-0.0110154,0.00164007,-0.0342599,-0.012711,-0.00444419,BEB,SAS
HG03931,1,2,33,2,-0.0113171,0.000796587,-0.0324645,-0.0118686,-0.0029483,BEB,SAS
HG03934,1,2,52,2,-0.0113183,0.00187759,-0.0337641,-0.0127508,-0.00193701,BEB,SAS
HG03937,1,1,47,2,-0.0113012,0.00171997,-0.0344641,-0.0124455,-0.00131652,BEB,SAS
HG03940,2,2,56,2,-0.010592,0.00340924,-0.0430312,-0.0172293,-0.000748551,BEB,SAS
